name,link,date_added
Adduction Chair (Cadeira Adutora),https://www.youtube.com/watch?v=faYVG6hD5Mg,2024-08-08 17:20:56
Rotator Cuff External Rotation (Manguito Externo),https://www.youtube.com/watch?v=S0MZqPB6wGs,2024-08-08 17:20:56
Rope Triceps Extension (Extensao de Triceps com corda),https://www.youtube.com/watch?v=OU-QKT5tPkM,2024-08-08 17:20:56
Leg Flexor Chair (Cadeira Flexora),https://www.youtube.com/watch?v=4CzCWxkrnwY,2024-08-08 17:20:56
Leg Extension Chair (Cadeira Extensora),https://www.youtube.com/watch?v=73CIyllybQ4,2024-08-08 17:20:56
Lateral Raise (Elevacao Lateral),https://www.youtube.com/watch?v=IqrMhqqExds,2024-08-08 17:20:56
Close Grip Row (Remada baixa com pegada fechada),https://www.youtube.com/watch?v=er_alEbery0,2024-08-08 17:20:56
Abduction Chair (Cadeira Abdutora),https://www.youtube.com/watch?v=dQB_EVK27CQ,2024-08-08 17:20:56
Barbell Push Press,https://www.youtube.com/watch?v=xKpqPJR9e4w,2024-08-08 17:20:56
Deadlift (Levantamento Terra),https://www.youtube.com/watch?v=lH1vhk0C28k,2024-08-08 17:20:56
Romanian Deadlift (Levantamento terra romeno  sem tocar o chao),https://www.youtube.com/watch?v=ahl02j0w20Q,2024-08-08 17:20:56
Air Plane (Aviao),https://www.youtube.com/watch?v=WuZxUBImUoE,2024-08-08 17:20:56
CAT CAMEL (Gato e Camelo),https://www.youtube.com/watch?v=C1GcieI2eJg,2024-08-08 17:20:56
Cossack Squat Hold (Isometria em agachamento unilateral),https://www.youtube.com/watch?v=zRTlxUhQNDU,2024-08-08 17:20:56
Deadbug Bench Legs (Deadbug no banco),https://www.youtube.com/watch?v=GJaaEaVsM28,2024-08-08 17:20:56
Banded Leg Lower (Descida de perna estendida com auxilio de elastico),https://www.youtube.com/watch?v=xu8JqaTynes,2024-08-08 17:20:56
Botton Up (Desenvolvimento com estabilizacao de Kettlebell),https://www.youtube.com/watch?v=pMkLpdD8ykI,2024-08-08 17:20:56
Box Mobility (Mobilidade de ombros na caixa),https://www.youtube.com/watch?v=KpMmJzz5qxk,2024-08-08 17:20:56
Fire Hidrant Hip Abduction (Abducao de quadril com miniband em quadro apoios),https://www.youtube.com/watch?v=8jP5V5nDs4I,2024-08-08 17:20:56
Prone PVC Press (Pronado com desenvolvimento com PVC),https://www.youtube.com/watch?v=CjcvJK93UwA,2024-08-08 17:20:56
Prone W Lift (Pronado com elevacao de bracos em W),https://www.youtube.com/watch?v=2W2PuF35kk0,2024-08-08 17:20:56
Prone Y W T (Pronado com elevacao de bracos em Y W T),https://www.youtube.com/watch?v=Unw3bqdMKww,2024-08-08 17:20:56
Side Walking Banded (Deslocamento lateral com Miniband),https://www.youtube.com/watch?v=JPL2NbsjiyQ,2024-08-08 17:20:56
Single Hip Lift (Elevacao Pelvica Unilateral),https://www.youtube.com/watch?v=SQP0_CNCYbA,2024-08-08 17:20:56
Quadruped Hip Cars (Rotacao de perna em circulo em quatro apoios),https://www.youtube.com/watch?v=N0aD3abu4UI,2024-08-08 17:20:56
Quadruped Scapular Push Ups (Flexao de escapula em quatro apoios),https://www.youtube.com/watch?v=oTOLdcVUIYw,2024-08-08 17:20:56
Hip Mobility Elbow To Floor (Mobidade de quadril tocando cotovelo no chao),https://www.youtube.com/watch?v=czFTrdo8XhQ,2024-08-08 17:20:56
Thread The Needle (Rotacao toracica três apoios com cotovelos no chao e extensao total),https://www.youtube.com/watch?v=XxoquAapCXk,2024-08-08 17:20:56
Leg Lower (Descida de perna unilateral mantendo ambas estendidas),https://www.youtube.com/watch?v=YIG7ErwVfGM,2024-08-08 17:20:56
Hip Rotation 90/90 (Rotacao de quadril 90/90),https://www.youtube.com/watch?v=duXHK8viiuo,2024-08-08 17:20:56
Running (Corrida),https://www.youtube.com/watch?v=OlbH8PiJFg0,2024-08-08 17:20:56
High Heel (Calcanhar Alto),https://www.youtube.com/watch?v=UHO-oz1J1tg,2024-08-08 17:20:56
High Knees (Joelho Alto),https://www.youtube.com/watch?v=TxepMIXIA4E,2024-08-08 17:20:56
Jumping Jacks (Polichinelos),https://www.youtube.com/watch?v=ZMaeooWF1X0,2024-08-08 17:20:56
Single Unders (Saltos simples de corda),https://www.youtube.com/watch?v=hvK94jv_--U,2024-08-08 17:20:56
Ground Jumps (Toques no chao com saltos),https://www.youtube.com/watch?v=QCSAxVc-Iok,2024-08-08 17:20:56
Ground to Over Head (Levantamento do chao para acima da cabeca),https://www.youtube.com/watch?v=kmVeOuDcFyE,2024-08-08 17:20:56
Dumbell Snatch (Snatch com Halter),https://www.youtube.com/watch?v=u9LUoUvE6Uo,2024-08-08 17:20:56
American Kettlebell Swing (Balanco com Kettlebell ate o topo da cabeca),https://www.youtube.com/watch?v=GcpvXCa6PAQ,2024-08-08 17:20:56
Sprawl,https://www.youtube.com/watch?v=XMZAtTVkmq8,2024-08-08 17:20:56
Burpees,https://www.youtube.com/watch?v=OwgB7QUPK3A,2024-08-08 17:20:56
Burpees Over Bar (Burpees saltando a barra),https://www.youtube.com/watch?v=MVR1zs36k80,2024-08-08 17:20:56
Burpees Box Jump over (Burpees com saltos na caixa passando por cima),https://www.youtube.com/watch?v=4JVpM9jl6eY,2024-08-08 17:20:56
Inchworm No Push Up (Minhoca sem Flexao),https://www.youtube.com/watch?v=Z2tDwWLtQEI,2024-08-08 17:20:56
Frankeistein (Elevacao de pernas estendidas de forma alternadas),https://www.youtube.com/watch?v=1-S2i43FuIw,2024-08-08 17:20:56
Good Morning (Bom dia),https://www.youtube.com/watch?v=9HL2HkiPqzc,2024-08-08 17:20:56
Russian Kettlebell Swing (Balanco de kettlebell russo),https://www.youtube.com/watch?v=7DfB-I-9FR8,2024-08-08 17:20:56
Jump Squat (Agachamento com saltos),https://www.youtube.com/watch?v=Ka6sNUpD1S0,2024-08-08 17:20:56
Thruster (Agachamento frontal com desenvolvimento),https://www.youtube.com/watch?v=2z73yMgTwsM,2024-08-08 17:20:56
Goblet Box Step Over (Passada sobre a caixa segurando peso),https://www.youtube.com/watch?v=VRHIpMzPo60,2024-08-08 17:20:56
Jumping Lunges (Passadas com salto),https://www.youtube.com/watch?v=MJvgJTtJwIU,2024-08-08 17:20:56
Goblet Jump Lunges (Afundo com saltos segurando peso),https://www.youtube.com/watch?v=p3Wlqjrma6c,2024-08-08 17:20:56
Box Jumps (Saltos na caixa),https://www.youtube.com/watch?v=oUkGXlgICDE,2024-08-08 17:20:56
Box Jumps Over (Saltos na caixa passando por cima),https://www.youtube.com/watch?v=DDfE7ZgJyeQ,2024-08-08 17:20:56
KB Deadlift (Deadlift com Ketllebell),https://www.youtube.com/watch?v=9VEIMXaXLF8,2024-08-08 17:20:56
Goblet Squat (Agachamento segurando kettlebell),https://www.youtube.com/watch?v=1vKdgdlwuSc,2024-08-08 17:20:56
Half TGU (Meio Turkish Get Up),https://www.youtube.com/watch?v=hhVlEf7u9Zg,2024-08-08 17:20:56
KB Dead Clean,https://www.youtube.com/watch?v=_Fj-ok4oEJk,2024-08-08 17:20:56
KB Dead Swing,https://www.youtube.com/watch?v=eRVV48cg29w,2024-08-08 17:20:56
KB Pêndulo Swing,https://www.youtube.com/watch?v=KgSvQU8BJ2s,2024-08-08 17:20:56
KB Swing (Balanco russo com kettlebell),https://www.youtube.com/watch?v=zSARjOWFqVU,2024-08-08 17:20:56
KB One Arm Swing,https://www.youtube.com/watch?v=TXfB_912-Xs,2024-08-08 17:20:56
Dual KB Clean,https://www.youtube.com/watch?v=nN66M-qgmWE,2024-08-08 17:20:56
KB Half Snatch,https://www.youtube.com/watch?v=2HOhf_1YQqY,2024-08-08 17:20:56
KB Snatch,https://www.youtube.com/watch?v=euaHjcF6s3E,2024-08-08 17:20:56
TGU Turkish Get Up (Levantamento Turco),https://www.youtube.com/watch?v=v0nnG-TAlh0,2024-08-08 17:20:56
Single KB Push Jerk,https://www.youtube.com/watch?v=2h1t_aFMeYo,2024-08-08 17:20:56
Dual KB Push Jerk,https://www.youtube.com/watch?v=qdUi7HX_Hps,2024-08-08 17:20:56
Dual KB Clean & Jerk,https://www.youtube.com/watch?v=P_6bTOFrmNg,2024-08-08 17:20:56
Single Deadlift (Levantamento terra unilateral),https://www.youtube.com/watch?v=3hHDYu3rOks,2024-08-08 17:20:56
Single Deadlift Dual Kettlebell (Levantamento terra unilateral),https://www.youtube.com/watch?v=Rmb3qsl0bJE,2024-08-08 17:20:56
Romanian Deadlift (Levantamento terra romeno  sem tocar o chao),https://www.youtube.com/watch?v=c7licov8B-Y,2024-08-08 17:20:56
Sumo Deadlift (Levantamento terra com base sumo),https://www.youtube.com/watch?v=qiwyF1KzJAM,2024-08-08 17:20:56
Deadlift (Levantamento Terra),https://www.youtube.com/watch?v=n8AjkCUEut0,2024-08-08 17:20:56
Stiff,https://www.youtube.com/watch?v=MpXWUvqvTnI,2024-08-08 17:20:56
Hip Lift (Elevacao de Pelvica Quadril),https://www.youtube.com/watch?v=RojqBNy67pw,2024-08-08 17:20:56
Single Hip Lift (Elevacao pelvica unilateral),https://www.youtube.com/watch?v=eVAx6MnHj_8,2024-08-08 17:20:56
Bench Hip Lift (Elevacao pelvica no banco),https://www.youtube.com/watch?v=LM7lHQRXkX8,2024-08-08 17:20:56
Three Point Kettlebell Row (Remada Curvada com 3 apoios),https://www.youtube.com/watch?v=OI9PhLc5iq8,2024-08-08 17:20:56
Gorila Row (Remadas alternadas com kettlebell no solo),https://www.youtube.com/watch?v=NRRgjP_oeqw,2024-08-08 17:20:56
Gorilla Row Top Down (Remada de gorila segurando no alto),https://www.youtube.com/watch?v=ALqc9bEuccU,2024-08-08 17:20:56
Split Stance Single Arm KB Row (Remada unilateral com base tesoura),https://www.youtube.com/watch?v=zVj5J5oSqts,2024-08-08 17:20:56
Kettlebell Row (Remada com Kettlebell),https://www.youtube.com/watch?v=Z7RzNGPQQ1c,2024-08-08 17:20:56
Barbell Row (Remada com barra),https://www.youtube.com/watch?v=D3eoBFh2f64,2024-08-08 17:20:56
